Disease,Male AUROC,Female AUROC,Gap
Atelectasis,0.7691924835049274,0.8021845424630217,-3.3%
Cardiomegaly,0.909868996156103,0.8912835842717699,+1.9%
Effusion,0.8551624236810391,0.8694507104710124,-1.4%
Infiltration,0.6806480726391397,0.6828448983202597,-0.2%
Mass,0.7857681404186018,0.7853750780835673,+0.0%
Nodule,0.6567610876496021,0.6876142772326075,-3.1%
Pneumonia,0.7355208961698048,0.7254253020901823,+1.0%
Pneumothorax,0.8709074250267056,0.8078030408588106,+6.3%
Consolidation,0.7797065438367331,0.8020749089711452,-2.2%
Edema,0.8877127666522971,0.9037759292847166,-1.6%
Emphysema,0.8420805715472927,0.8049886228943703,+3.7%
Fibrosis,0.7484143702345936,0.7576530612244898,-0.9%
Pleural_Thickening,0.7586354090577062,0.7551001719559223,+0.4%
Hernia,0.8358776308278987,0.8823750361167293,-4.6%
Mean,0.7940183441001746,0.796996368874186,-0.3%
