Disease,Male AUROC,Female AUROC,Gap
Atelectasis,0.7893481807833581,0.8222114663892317,-3.3%
Cardiomegaly,0.920044546096828,0.8900821310855352,+3.0%
Effusion,0.870699993027958,0.8893282819519154,-1.9%
Infiltration,0.6943393804202245,0.6956756127739107,-0.1%
Mass,0.8422631121892938,0.8248065255102237,+1.7%
Nodule,0.72182518486371,0.7134534774849038,+0.8%
Pneumonia,0.7223908400074359,0.7469735729795733,-2.5%
Pneumothorax,0.8963783945931526,0.8433206960160217,+5.3%
Consolidation,0.7984926628944071,0.8243834477783208,-2.6%
Edema,0.9039326723360898,0.9241261700752601,-2.0%
Emphysema,0.9009179238517783,0.9111489867310361,-1.0%
Fibrosis,0.8127397398310006,0.7977056661173787,+1.5%
Pleural_Thickening,0.7907128834915997,0.7959066350566234,-0.5%
Hernia,0.8928763718358209,0.8772512761244342,+1.6%
Mean,0.8254972775873327,0.8254552818624549,+0.0%
